open("/dev/video0", O_RDWR|O_LARGEFILE) = 4
ioctl(4, VIDIOC_QUERYCAP or VT_OPENQRY, 0xbfaccd44) = 0
ioctl(4, VIDIOC_G_FMT or VT_SENDSIG, 0xbfaccc78) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = 0
ioctl(4, 0xc02c564a, 0xbfaccb58)        = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = 0
ioctl(4, 0xc02c564a, 0xbfaccb58)        = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = 0
ioctl(4, 0xc02c564a, 0xbfaccb58)        = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0xbfaccbec) = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_QUERYCAP or VT_OPENQRY, 0xbfaccb84) = 0
ioctl(4, VIDIOC_G_INPUT, 0xbfacca2c)    = 0
ioctl(4, VIDIOC_ENUMINPUT, 0xbfacca2c)  = 0
fstat64(4, {st_mode=S_IFCHR|0660, st_rdev=makedev(81, 0), ...}) = 0
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0xbfacca78) = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_QUERYCAP or VT_OPENQRY, 0x9b40998) = 0
fcntl64(4, F_SETFD, FD_CLOEXEC)         = 0
ioctl(4, VIDIOC_ENUMINPUT, 0x9b40acc)   = 0
ioctl(4, VIDIOC_ENUMINPUT, 0x9b40b18)   = 0
ioctl(4, VIDIOC_ENUMINPUT, 0x9b40b64)   = 0
ioctl(4, VIDIOC_ENUMINPUT, 0x9b40bb0)   = 0
ioctl(4, VIDIOC_ENUMINPUT, 0x9b40bfc)   = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_ENUMSTD, 0x9b40f8c)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b40fcc)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b4100c)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b4104c)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b4108c)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b410cc)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b4110c)     = 0
ioctl(4, VIDIOC_ENUMSTD, 0x9b4114c)     = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0x9b4138c) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0x9b413cc) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0x9b4140c) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0x9b4144c) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0x9b4148c) = 0
ioctl(4, VIDIOC_ENUM_FMT or VT_SETMODE, 0x9b414cc) = 0
ioctl(4, VIDIOC_G_PARM, 0x9b40a00)      = 0
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41b8c) = 0
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41bd0) = 0
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41c14) = 0
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41c58) = 0
